userID,text,created_at,favorite_count,followers_account,friends_count,location
4813,@kylekutter reuse. Reduce. Saving the world one ceramic mug at a time.,10/19/2016 21:45:11 EDT,146,284,496,"Oklahoma City, OK"
3635,Even in the dark Imma still shine... It's a day by day process but I remain focused!!! https://t.co/ww678VUDqp,10/19/2016 21:45:14 EDT,14,1593,1080,"Los Angeles, California"
19687,"I'll keep fighting for you, I'll never stop. I don't care how much it hurts me.",10/19/2016 21:45:15 EDT,717,212,823,"Louisiana, USA"
7847,"So far, Hillary has beaten trump on Supreme Court, abortion, and borders #debate",10/19/2016 21:45:27 EDT,4076,328,596,"St. Cloud, MN"
22256,RT @champagneeelisa: If you sucked my titties you can never talk shit about me I'm your mom now respect me,10/19/2016 21:45:32 EDT,6047,154,192,California
20217,Tell me more about how effective Obama's stimulus was. #debatenight,10/19/2016 21:45:32 EDT,448,173,312,"Belton, MO"
7048,"RT @ppppolls: 75% of voters nationally think the minimum wage should be increased- 92% of Democrats, 72% of independents, and 56% of Republ…",10/19/2016 21:45:33 EDT,469,1856,1954,"Baltimore, MD"
11740,"@NickBaptiste congrats man, great debut, Go Sabres!",10/19/2016 21:45:37 EDT,1904,688,933,"Greensboro, NC"
4051,A4: school created benchmarks help to align grade levels; vertical articulation with skill acquisition informs gaps there #principallife,10/19/2016 21:45:38 EDT,460,166,170,"Orange County, CA"
20217,"RT @BrentBozell: ""We know how to get control of the debt."" And pigs know how to fly.  #debatenight",10/19/2016 21:45:43 EDT,448,173,312,"Belton, MO"
4051,Totally agree! Why fight what you cannot see? #principallife https://t.co/SQp4T90g4p,10/19/2016 21:46:32 EDT,462,166,170,"Orange County, CA"
14744,@MrSketchScented Would you want to donate any markers to the @ecet2ky conference? #supportteachers,10/19/2016 21:46:32 EDT,5680,1305,1236,Kentucky
7955,Irony: An entire generation that grew up during the Cold War is being tricked into voting for a communist puppet dictator. #debatenight,10/19/2016 21:46:49 EDT,350,182,189,Iowa City
7048,#China. Drink,10/19/2016 21:46:51 EDT,469,1856,1954,"Baltimore, MD"
17179,"Was the [job] report bad, Donald? I can't tell from your choice of words.",10/19/2016 21:47:08 EDT,501,144,268,"Atlanta, GA"
13374,RT @NotGayJared: And completely false. Do you know how to Google? https://t.co/SBJkhKavhk,10/19/2016 21:47:32 EDT,313,126,219,"Catonsville, MD"
13374,"RT @nickgillespie: Holy moley, I agree w Trump on something: Our allies should pay for their own defense! https://t.co/aYVOQT5Zq4 https://t…",10/19/2016 21:47:47 EDT,314,126,219,"Catonsville, MD"
9152,"Wedding, boudoir and newborn clients: If you are hoping to get your album in time for the Christmas holiday... https://t.co/msANSojN6m",10/19/2016 21:48:08 EDT,0,235,242,New York
